2024-04-19 11:10:23.214 [main] INFO  - Application started
2024-04-19 11:10:23.215 [main] INFO  - Start reading properties file: application.properties
2024-04-19 11:10:23.215 [main] INFO  - Current path: /Users/nguyennd/Project/Java/datadiff
2024-04-19 11:10:23.215 [main] INFO  - Properties file read successfully
2024-04-19 11:10:23.218 [main] INFO  - Properties: {destination_type=mysql, source_connection_string=jdbc:oracle:thin:@//10.10.12.21:1521/t24core, destination_password=oracle_4U, source_username=ggadmin, source_type=oracle, destination_connection_string=jdbc:mysql://10.10.12.238:3306, source_password=oracle_4U, destination_username=dbadmin}
2024-04-19 11:10:23.218 [main] INFO  - Found query to get all schema is null from properties file. Using default query: select username as schema_name from sys.all_users order by username
2024-04-19 11:10:24.435 [main] INFO  - Checking file exist: /Users/nguyennd/Project/Java/datadiff/schemas.txt
2024-04-19 11:10:24.436 [main] INFO  - File exist at the path: /Users/nguyennd/Project/Java/datadiff/schemas.txt
2024-04-19 11:10:24.436 [main] INFO  - schemas.txt file already exists, stop query the schema from database
2024-04-19 11:10:24.436 [main] INFO  - Schema: ACCESSCONTROL_PANDP
2024-04-19 11:10:24.436 [main] INFO  - Getting table list from database oracle with schema: ACCESSCONTROL_PANDP
2024-04-19 11:10:26.537 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'ACCESSCONTROL_PANDP'
2024-04-19 11:10:26.538 [main] INFO  - Get 0 table from ACCESSCONTROL_PANDP schema of database oracle
2024-04-19 11:10:26.538 [main] INFO  - Getting table list from database mysql with schema: ACCESSCONTROL_PANDP
2024-04-19 11:10:27.358 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'ACCESSCONTROL_PANDP'
2024-04-19 11:10:27.359 [main] INFO  - Get 0 table from ACCESSCONTROL_PANDP schema of database mysql
2024-04-19 11:10:27.359 [main] INFO  - Schema: ACTION
2024-04-19 11:10:27.359 [main] INFO  - Getting table list from database oracle with schema: ACTION
2024-04-19 11:10:29.319 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'ACTION'
2024-04-19 11:10:29.320 [main] INFO  - Get 0 table from ACTION schema of database oracle
2024-04-19 11:10:29.320 [main] INFO  - Getting table list from database mysql with schema: ACTION
2024-04-19 11:10:30.155 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'ACTION'
2024-04-19 11:10:30.155 [main] INFO  - Get 17 table from ACTION schema of database mysql
2024-04-19 11:10:30.155 [main] INFO  - Schema: ANONYMOUS
2024-04-19 11:10:30.155 [main] INFO  - Getting table list from database oracle with schema: ANONYMOUS
2024-04-19 11:10:31.162 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'ANONYMOUS'
2024-04-19 11:10:31.163 [main] INFO  - Get 0 table from ANONYMOUS schema of database oracle
2024-04-19 11:10:31.163 [main] INFO  - Getting table list from database mysql with schema: ANONYMOUS
2024-04-19 11:10:31.875 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'ANONYMOUS'
2024-04-19 11:10:31.877 [main] INFO  - Get 0 table from ANONYMOUS schema of database mysql
2024-04-19 11:10:31.877 [main] INFO  - Schema: APPQOSSYS
2024-04-19 11:10:31.877 [main] INFO  - Getting table list from database oracle with schema: APPQOSSYS
2024-04-19 11:10:33.177 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'APPQOSSYS'
2024-04-19 11:10:33.178 [main] INFO  - Get 5 table from APPQOSSYS schema of database oracle
2024-04-19 11:10:33.178 [main] INFO  - Getting table list from database mysql with schema: APPQOSSYS
2024-04-19 11:10:33.858 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'APPQOSSYS'
2024-04-19 11:10:33.858 [main] INFO  - Get 0 table from APPQOSSYS schema of database mysql
2024-04-19 11:10:33.859 [main] INFO  - Schema: APPROVAL_SERVICE
2024-04-19 11:10:33.859 [main] INFO  - Getting table list from database oracle with schema: APPROVAL_SERVICE
2024-04-19 11:10:34.901 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'APPROVAL_SERVICE'
2024-04-19 11:10:34.996 [main] INFO  - Get 13 table from APPROVAL_SERVICE schema of database oracle
2024-04-19 11:10:34.996 [main] INFO  - Getting table list from database mysql with schema: APPROVAL_SERVICE
2024-04-19 11:10:36.036 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'APPROVAL_SERVICE'
2024-04-19 11:10:36.037 [main] INFO  - Get 14 table from APPROVAL_SERVICE schema of database mysql
2024-04-19 11:10:36.037 [main] INFO  - Schema: ARRANGEMENT_MANAGER
2024-04-19 11:10:36.037 [main] INFO  - Getting table list from database oracle with schema: ARRANGEMENT_MANAGER
2024-04-19 11:10:37.042 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'ARRANGEMENT_MANAGER'
2024-04-19 11:10:37.234 [main] INFO  - Get 23 table from ARRANGEMENT_MANAGER schema of database oracle
2024-04-19 11:10:37.235 [main] INFO  - Getting table list from database mysql with schema: ARRANGEMENT_MANAGER
2024-04-19 11:10:37.955 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'ARRANGEMENT_MANAGER'
2024-04-19 11:10:37.956 [main] INFO  - Get 0 table from ARRANGEMENT_MANAGER schema of database mysql
2024-04-19 11:10:37.957 [main] INFO  - Schema: AUDIT_PERSISTENCE
2024-04-19 11:10:37.957 [main] INFO  - Getting table list from database oracle with schema: AUDIT_PERSISTENCE
2024-04-19 11:10:39.018 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'AUDIT_PERSISTENCE'
2024-04-19 11:10:39.019 [main] INFO  - Get 7 table from AUDIT_PERSISTENCE schema of database oracle
2024-04-19 11:10:39.020 [main] INFO  - Getting table list from database mysql with schema: AUDIT_PERSISTENCE
2024-04-19 11:10:39.756 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'AUDIT_PERSISTENCE'
2024-04-19 11:10:39.756 [main] INFO  - Get 5 table from AUDIT_PERSISTENCE schema of database mysql
2024-04-19 11:10:39.757 [main] INFO  - Schema: AUDSYS
2024-04-19 11:10:39.757 [main] INFO  - Getting table list from database oracle with schema: AUDSYS
2024-04-19 11:10:40.979 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'AUDSYS'
2024-04-19 11:10:40.980 [main] INFO  - Get 1 table from AUDSYS schema of database oracle
2024-04-19 11:10:40.980 [main] INFO  - Getting table list from database mysql with schema: AUDSYS
2024-04-19 11:10:41.795 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'AUDSYS'
2024-04-19 11:10:41.796 [main] INFO  - Get 0 table from AUDSYS schema of database mysql
2024-04-19 11:10:41.796 [main] INFO  - Schema: BACKBASE_IDENTITY
2024-04-19 11:10:41.796 [main] INFO  - Getting table list from database oracle with schema: BACKBASE_IDENTITY
2024-04-19 11:10:42.874 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'BACKBASE_IDENTITY'
2024-04-19 11:10:43.713 [main] INFO  - Get 105 table from BACKBASE_IDENTITY schema of database oracle
2024-04-19 11:10:43.713 [main] INFO  - Getting table list from database mysql with schema: BACKBASE_IDENTITY
2024-04-19 11:10:44.475 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'BACKBASE_IDENTITY'
2024-04-19 11:10:44.476 [main] INFO  - Get 0 table from BACKBASE_IDENTITY schema of database mysql
2024-04-19 11:10:44.476 [main] INFO  - Schema: CARDLESS_WITHDRAWAL
2024-04-19 11:10:44.476 [main] INFO  - Getting table list from database oracle with schema: CARDLESS_WITHDRAWAL
2024-04-19 11:10:45.355 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'CARDLESS_WITHDRAWAL'
2024-04-19 11:10:45.355 [main] INFO  - Get 3 table from CARDLESS_WITHDRAWAL schema of database oracle
2024-04-19 11:10:45.355 [main] INFO  - Getting table list from database mysql with schema: CARDLESS_WITHDRAWAL
2024-04-19 11:10:46.075 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'CARDLESS_WITHDRAWAL'
2024-04-19 11:10:46.075 [main] INFO  - Get 0 table from CARDLESS_WITHDRAWAL schema of database mysql
2024-04-19 11:10:46.076 [main] INFO  - Schema: CATEGORIZE_TXN
2024-04-19 11:10:46.076 [main] INFO  - Getting table list from database oracle with schema: CATEGORIZE_TXN
2024-04-19 11:10:47.074 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'CATEGORIZE_TXN'
2024-04-19 11:10:47.075 [main] INFO  - Get 3 table from CATEGORIZE_TXN schema of database oracle
2024-04-19 11:10:47.075 [main] INFO  - Getting table list from database mysql with schema: CATEGORIZE_TXN
2024-04-19 11:10:47.794 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'CATEGORIZE_TXN'
2024-04-19 11:10:47.794 [main] INFO  - Get 5 table from CATEGORIZE_TXN schema of database mysql
2024-04-19 11:10:47.794 [main] INFO  - Schema: CONFIRMATION
2024-04-19 11:10:47.794 [main] INFO  - Getting table list from database oracle with schema: CONFIRMATION
2024-04-19 11:10:48.817 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'CONFIRMATION'
2024-04-19 11:10:48.818 [main] INFO  - Get 3 table from CONFIRMATION schema of database oracle
2024-04-19 11:10:48.818 [main] INFO  - Getting table list from database mysql with schema: CONFIRMATION
2024-04-19 11:10:49.594 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'CONFIRMATION'
2024-04-19 11:10:49.595 [main] INFO  - Get 0 table from CONFIRMATION schema of database mysql
2024-04-19 11:10:49.595 [main] INFO  - Schema: CONTACT_MANAGER
2024-04-19 11:10:49.595 [main] INFO  - Getting table list from database oracle with schema: CONTACT_MANAGER
2024-04-19 11:10:50.537 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'CONTACT_MANAGER'
2024-04-19 11:10:50.537 [main] INFO  - Get 8 table from CONTACT_MANAGER schema of database oracle
2024-04-19 11:10:50.537 [main] INFO  - Getting table list from database mysql with schema: CONTACT_MANAGER
2024-04-19 11:10:51.315 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'CONTACT_MANAGER'
2024-04-19 11:10:51.316 [main] INFO  - Get 1 table from CONTACT_MANAGER schema of database mysql
2024-04-19 11:10:51.316 [main] INFO  - Schema: CTXSYS
2024-04-19 11:10:51.316 [main] INFO  - Getting table list from database oracle with schema: CTXSYS
2024-04-19 11:10:53.154 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'CTXSYS'
2024-04-19 11:10:53.535 [main] INFO  - Get 53 table from CTXSYS schema of database oracle
2024-04-19 11:10:53.536 [main] INFO  - Getting table list from database mysql with schema: CTXSYS
2024-04-19 11:10:54.232 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'CTXSYS'
2024-04-19 11:10:54.233 [main] INFO  - Get 0 table from CTXSYS schema of database mysql
2024-04-19 11:10:54.233 [main] INFO  - Schema: CUSTOMER_ENROLL_MANAGER
2024-04-19 11:10:54.233 [main] INFO  - Getting table list from database oracle with schema: CUSTOMER_ENROLL_MANAGER
2024-04-19 11:10:55.155 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'CUSTOMER_ENROLL_MANAGER'
2024-04-19 11:10:55.234 [main] INFO  - Get 15 table from CUSTOMER_ENROLL_MANAGER schema of database oracle
2024-04-19 11:10:55.235 [main] INFO  - Getting table list from database mysql with schema: CUSTOMER_ENROLL_MANAGER
2024-04-19 11:10:55.916 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'CUSTOMER_ENROLL_MANAGER'
2024-04-19 11:10:55.917 [main] INFO  - Get 0 table from CUSTOMER_ENROLL_MANAGER schema of database mysql
2024-04-19 11:10:55.917 [main] INFO  - Schema: CX6_AUDITING
2024-04-19 11:10:55.917 [main] INFO  - Getting table list from database oracle with schema: CX6_AUDITING
2024-04-19 11:10:56.796 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'CX6_AUDITING'
2024-04-19 11:10:56.796 [main] INFO  - Get 0 table from CX6_AUDITING schema of database oracle
2024-04-19 11:10:56.796 [main] INFO  - Getting table list from database mysql with schema: CX6_AUDITING
2024-04-19 11:10:57.555 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'CX6_AUDITING'
2024-04-19 11:10:57.556 [main] INFO  - Get 3 table from CX6_AUDITING schema of database mysql
2024-04-19 11:10:57.556 [main] INFO  - Schema: CX6_CONTENTSERVICES
2024-04-19 11:10:57.556 [main] INFO  - Getting table list from database oracle with schema: CX6_CONTENTSERVICES
2024-04-19 11:10:58.438 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'CX6_CONTENTSERVICES'
2024-04-19 11:10:58.438 [main] INFO  - Get 9 table from CX6_CONTENTSERVICES schema of database oracle
2024-04-19 11:10:58.438 [main] INFO  - Getting table list from database mysql with schema: CX6_CONTENTSERVICES
2024-04-19 11:10:59.154 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'CX6_CONTENTSERVICES'
2024-04-19 11:10:59.155 [main] INFO  - Get 0 table from CX6_CONTENTSERVICES schema of database mysql
2024-04-19 11:10:59.155 [main] INFO  - Schema: CX6_PORTAL
2024-04-19 11:10:59.156 [main] INFO  - Getting table list from database oracle with schema: CX6_PORTAL
2024-04-19 11:11:00.178 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'CX6_PORTAL'
2024-04-19 11:11:00.274 [main] INFO  - Get 15 table from CX6_PORTAL schema of database oracle
2024-04-19 11:11:00.274 [main] INFO  - Getting table list from database mysql with schema: CX6_PORTAL
2024-04-19 11:11:00.998 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'CX6_PORTAL'
2024-04-19 11:11:00.999 [main] INFO  - Get 0 table from CX6_PORTAL schema of database mysql
2024-04-19 11:11:01.000 [main] INFO  - Schema: CX6_PROVISIONING
2024-04-19 11:11:01.000 [main] INFO  - Getting table list from database oracle with schema: CX6_PROVISIONING
2024-04-19 11:11:02.018 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'CX6_PROVISIONING'
2024-04-19 11:11:02.114 [main] INFO  - Get 10 table from CX6_PROVISIONING schema of database oracle
2024-04-19 11:11:02.115 [main] INFO  - Getting table list from database mysql with schema: CX6_PROVISIONING
2024-04-19 11:11:02.875 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'CX6_PROVISIONING'
2024-04-19 11:11:02.876 [main] INFO  - Get 10 table from CX6_PROVISIONING schema of database mysql
2024-04-19 11:11:02.876 [main] INFO  - Schema: CX6_PUSH_INTEGRATION
2024-04-19 11:11:02.876 [main] INFO  - Getting table list from database oracle with schema: CX6_PUSH_INTEGRATION
2024-04-19 11:11:03.817 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'CX6_PUSH_INTEGRATION'
2024-04-19 11:11:03.817 [main] INFO  - Get 0 table from CX6_PUSH_INTEGRATION schema of database oracle
2024-04-19 11:11:03.818 [main] INFO  - Getting table list from database mysql with schema: CX6_PUSH_INTEGRATION
2024-04-19 11:11:04.549 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'CX6_PUSH_INTEGRATION'
2024-04-19 11:11:04.551 [main] INFO  - Get 3 table from CX6_PUSH_INTEGRATION schema of database mysql
2024-04-19 11:11:04.551 [main] INFO  - Schema: DATAARC
2024-04-19 11:11:04.552 [main] INFO  - Getting table list from database oracle with schema: DATAARC
2024-04-19 11:11:05.833 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'DATAARC'
2024-04-19 11:11:05.834 [main] INFO  - Get 0 table from DATAARC schema of database oracle
2024-04-19 11:11:05.834 [main] INFO  - Getting table list from database mysql with schema: DATAARC
2024-04-19 11:11:06.553 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'DATAARC'
2024-04-19 11:11:06.554 [main] INFO  - Get 0 table from DATAARC schema of database mysql
2024-04-19 11:11:06.554 [main] INFO  - Schema: DBSFWUSER
2024-04-19 11:11:06.554 [main] INFO  - Getting table list from database oracle with schema: DBSFWUSER
2024-04-19 11:11:07.538 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'DBSFWUSER'
2024-04-19 11:11:07.539 [main] INFO  - Get 3 table from DBSFWUSER schema of database oracle
2024-04-19 11:11:07.539 [main] INFO  - Getting table list from database mysql with schema: DBSFWUSER
2024-04-19 11:11:08.273 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'DBSFWUSER'
2024-04-19 11:11:08.273 [main] INFO  - Get 0 table from DBSFWUSER schema of database mysql
2024-04-19 11:11:08.273 [main] INFO  - Schema: DBSNMP
2024-04-19 11:11:08.274 [main] INFO  - Getting table list from database oracle with schema: DBSNMP
2024-04-19 11:11:09.258 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'DBSNMP'
2024-04-19 11:11:09.428 [main] INFO  - Get 20 table from DBSNMP schema of database oracle
2024-04-19 11:11:09.429 [main] INFO  - Getting table list from database mysql with schema: DBSNMP
2024-04-19 11:11:10.154 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'DBSNMP'
2024-04-19 11:11:10.155 [main] INFO  - Get 0 table from DBSNMP schema of database mysql
2024-04-19 11:11:10.155 [main] INFO  - Schema: DEVICE_MANAGEMENT
2024-04-19 11:11:10.155 [main] INFO  - Getting table list from database oracle with schema: DEVICE_MANAGEMENT
2024-04-19 11:11:11.488 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'DEVICE_MANAGEMENT'
2024-04-19 11:11:11.489 [main] INFO  - Get 5 table from DEVICE_MANAGEMENT schema of database oracle
2024-04-19 11:11:11.489 [main] INFO  - Getting table list from database mysql with schema: DEVICE_MANAGEMENT
2024-04-19 11:11:12.235 [main] INFO  - Executing query: SELECT table_name FROM information_schema.tables WHERE table_schema = 'DEVICE_MANAGEMENT'
2024-04-19 11:11:12.236 [main] INFO  - Get 0 table from DEVICE_MANAGEMENT schema of database mysql
2024-04-19 11:11:12.236 [main] INFO  - Schema: DEVICE_MANAGEMENT_ADDITIONAL_DATA
2024-04-19 11:11:12.236 [main] INFO  - Getting table list from database oracle with schema: DEVICE_MANAGEMENT_ADDITIONAL_DATA
2024-04-19 11:11:13.233 [main] INFO  - Executing query: SELECT table_name FROM all_tables WHERE owner = 'DEVICE_MANAGEMENT_ADDITIONAL_DATA'
2024-04-19 11:11:13.234 [main] INFO  - Get 3 table from DEVICE_MANAGEMENT_ADDITIONAL_DATA schema of database oracle
2024-04-19 11:11:13.234 [main] INFO  - Getting table list from database mysql with schema: DEVICE_MANAGEMENT_ADDITIONAL_DATA
