tablename,oracle_columnname,oracle_data_type,oracle_default_value,oracle_nullable,mysql_colume_name,mysql_data_type,mysql_default_value,mysql_nullable,validate_name,validate_type,validate_default,validate_nullable,recommend_type
REFUND,ID,RAW,null,N,ID,VARBINARY,null,N,TRUE,TRUE,N/A,TRUE,VARBINARY 
REFUND,CREATED_AT,TIMESTAMP(6),null,Y,CREATED_AT,DATETIME,null,Y,TRUE,N/A,N/A,TRUE,N/A
REFUND,CREATED_BY,VARCHAR2,null,Y,CREATED_BY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
REFUND,CREDIT_ACC_NO,VARCHAR2,null,Y,CREDIT_ACC_NO,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
REFUND,CURRENCY,VARCHAR2,null,Y,CURRENCY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
REFUND,DEBIT_ACC_NO,VARCHAR2,null,Y,DEBIT_ACC_NO,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
REFUND,FT_ORIGIN,VARCHAR2,null,Y,FT_ORIGIN,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
REFUND,PARTNER_ID,VARCHAR2,null,Y,PARTNER_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
REFUND,REFUND_AMOUNT,NUMBER,null,N,REFUND_AMOUNT,DECIMAL,null,N,TRUE,TRUE,N/A,TRUE,DECIMAL DOUBLE 
REFUND,REFUND_TRACE,VARCHAR2,null,Y,REFUND_TRACE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
REFUND,REQUEST_ID,VARCHAR2,null,Y,REQUEST_ID,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
REFUND,ERROR_CODE,VARCHAR2,null,Y,ERROR_CODE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
REFUND,ERROR_MESSAGE,VARCHAR2,null,Y,ERROR_MESSAGE,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
REFUND,STATUS,VARCHAR2,null,Y,STATUS,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
REFUND,UPDATED_AT,TIMESTAMP(6),null,Y,UPDATED_AT,DATETIME,null,Y,TRUE,N/A,N/A,TRUE,N/A
REFUND,UPDATED_BY,VARCHAR2,null,Y,UPDATED_BY,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
REFUND,REQUEST_TIME,TIMESTAMP(6),null,Y,REQUEST_TIME,DATETIME,null,Y,TRUE,N/A,N/A,TRUE,N/A
REFUND,TYPE_REFUND,NUMBER,null,Y,TYPE_REFUND,DOUBLE,null,Y,TRUE,TRUE,N/A,TRUE,DECIMAL DOUBLE 
REFUND,ADD_DATA,VARCHAR2,null,Y,ADD_DATA,VARCHAR,null,Y,TRUE,TRUE,N/A,TRUE,VARCHAR 
DATABASECHANGELOG,ID,VARCHAR2,null,N,ID,VARCHAR,null,N,TRUE,TRUE,N/A,TRUE,VARCHAR 
